"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1214","Leona Electric Light Co.","Kansas","15-121","2800","2310","63","32600"
"1215","The Northern Kansas Power Co.","Kansas","15-134","24083","5536","140","83815"
"1216","St. Benedict Light & Power Co.","Kansas","15-146",NA,"467","22","9696"
"1217","Solomon Gas & Electric Co.","Kansas","15-155",NA,NA,NA,NA
"1218","The Utility Service Company","Kansas","15-171",NA,NA,NA,NA
"1219","Walnut Electric Light & Power Co.","Kansas","15-175","19583","6878","200",NA
"1220","Western Light & Telephone","Kansas","15-180","2277265","454695",NA,"1321035"
"1221","Allen County Supply Company","Kansas","15-215",NA,NA,NA,NA
"1222","Bowersock Mills & Power Co.","Kansas","15-257","180000","93000","7",NA
"1223","The Garden City Co.","Kansas","15-260","450651","155188","1",NA
"1224","The Monarch Cement Company","Kansas","15-299",NA,NA,NA,NA
"1225","National Gypsum Company","Kansas","15-305",NA,NA,NA,NA
"1226","Union Electric Railway Co.","Kansas","15-355",NA,NA,NA,NA
"1227","Wrights Service Garage","Kansas","15-384",NA,NA,NA,NA
"1228","*City of Alma","Kansas","15-513","25000","14412","300","296400"
"1229","*City of Altamont","Kansas","15-514","25000","9982","265","216940"
"1230","*City of Alton","Kansas","15-516",NA,NA,NA,NA
"1231","*City of Americus","Kansas","15-518",NA,"4325","162","70000"
"1232","""City of Anthony","Kansas","15-521","300188","67017","1200",NA
"1233","""City of Arcadia","Kansas","15-523","12000",NA,NA,"221860"
"1234","*City of Anna","Kansas","15-525","70000","16102","450","423580"
"1235","""City of Ashland","Kansas","15-527","110000","20970","390",NA
"1236","""City of Attica","Kansas","15-529","80000","11665","261",NA
"1237","* City of Augusta","Kansas","15-530","275000","66428","1266",NA
"1238","' Axti-ll Municipal Electric","Kansas","15-532","25000",NA,NA,NA
"1239","''Baldwin City Light & Water","Kansas","15-534","110000","23000","485",NA
"1240","•City of Belleville","Kansas","15-536","233840","48821","922",NA
"1241","*Beloit Light and Water","Kansas","15-538","3e+05","77800","1200",NA
"1242","*Blue Mound Light Plant","Kansas","15-540","5021","5021","100","102000"
"1243","*The City of Bogue","Kansas","15-541","11000","2363","52","33650"
"1244","*City of Bronson","Kansas","15-542","12000","6000",NA,"108000"
"1245","'Buffalo Light & Power","Kansas","15-544",NA,"4836",NA,NA
"1246","*Burlingame Light & Power","Kansas","15-547",NA,NA,NA,NA
"1247","'Burlington Light & Power","Kansas","15-548",NA,"43157","896",NA
"1248","""Cawker City Electric & Water","Kansas","15-551","25000","9668","240","262000"
"1249","*Centralia Municipal Light","Kansas","15-553","10000","7000","260","190000"
"1250","*City of Chanute","Kansas","15-555","760000","189000","3726",NA
"1251","'Chapman Municipal Light","Kansas","15-557","16000","12676","320","314400"
"1252","*The City of Chetopa","Kansas","15-559","88134","16010","461",NA
"1253","""City of Cimarron","Kansas","15-561",NA,"15000","300","4e+05"
"1254","*Clay Center Municipal Light &","Kansas","15-563","5e+05","92248","1800",NA
"1255","*City of Coats","Kansas","15-565",NA,"4380","106","96800"
"1256","*Coffeyville Municipal Water &","Kansas","15-567","1016043","397341","6224",NA
"1257","""Colby Water and Light Plant","Kansas","15-569",NA,"59611","778",NA
"1258","*City of De Soto","Kansas","15-572","6000","5165",NA,"118000"
"1259","*City of Dighton","Kansas","15-576","53875","14797","349",NA
"1260","*Ellinwood Light and Water","Kansas","15-580","131159","41333","571",NA
"1261","""Ellis Light and Water Plant","Kansas","15-582",NA,NA,"568",NA
"1262","*City of Elsmore","Kansas","15-584","10000","2477","90","57679"
"1263","*City of Elwood","Kansas","15-586",NA,"7643","240","128480"
"1264","*City of Enterprise","Kansas","15-588",NA,"7992",NA,"222392"
"1265","*Erie Water and Light","Kansas","15-589",NA,NA,"493",NA
"1266","*Eudora Light Department","Kansas","15-591",NA,NA,NA,NA
"1267","*City of Fredonia","Kansas","15-593",NA,"70428","1328",NA
"1268","""City of Galesburg","Kansas","15-595","4500","2308","75",NA
"1269","*Galva Electric Department","Kansas","15-597","18000","6804","175","114000"
"1270","*City of Garden City","Kansas","15-599","170705","109797",NA,"3831000"
"1271","4Gardner Municipal Electric Plant","Kansas","15-600","12500","9818",NA,NA
"1272","*City of Garnett","Kansas","15-602",NA,"44790","950",NA
"1273","*Girard Light & Power Plant","Kansas","15-604","180000","45843","1078",NA
"1274","*GIasco Light Department","Kansas","15-606","28000","10730","317",NA
"1275","""City of Glen Elder","Kansas","15-608",NA,"603","217","16600"
"1276","*City of Goflf","Kansas","15-610",NA,"5462","144","140260"
"1277","*City of Goodland","Kansas","15-612","310167","76000","1080",NA
"1278","*City of Green","Kansas","15-614",NA,"3910","106",NA
"1279","*Greensburg Light & Power","Kansas","15-616","185000","24549","480",NA
"1280","*Haven Light & Power","Kansas","15-619","15000","11541","280","333000"
"1281","""Herington Municipal Water &","Kansas","15-623","3e+05","64338","1360",NA
"1282","*Herndon Municipal Electric","Kansas","15-624","38000",NA,NA,NA
"1283","*Hill City Water & Light Plant","Kansas","15-625","1e+05","24000","400",NA
"1284","*Hoisington Municipal Electric","Kansas","15-626","202000","399","1103",NA
"1285","Ilolion Light Department","Kansas","15-627",NA,"50150","1350",NA
"1286","*Holyrood Light & Water","Kansas","15-629","17500","10500","203","225900"
"1287","*Horton Water & Electric","Kansas","15-631","688211","58719","913",NA
"1288","""Hugoton Light & Water Plant","Kansas","15-633","136574","27485","554",NA
"1289","*City of lola","Kansas","15-637","203074","134028","2887",NA
"1290","*City of Isabel","Kansas","15-639",NA,"3994","100","81150"
"1291","*Iuka Light, Power and Distri","Kansas","15-641",NA,NA,NA,NA
"1292","'""Jamestown Light & Water","Kansas","15-643","20000","8791","201",NA
"1293","*Jetmore Power & Light","Kansas","15-644",NA,"20242","298",NA
"1294","*Kanopolis Municipal Water &","Kansas","15-646",NA,NA,NA,NA
"1295","*Board of Public Utilities of","Kansas","15-648","10476632","2463248","33929",NA
"1296","*City of Kingman","Kansas","15-650","1e+05","49931","1115",NA
"1297","*City of La Crosse","Kansas","15-654","150000","28449","500",NA
"1298","La Harpe Municipal Plant","Kansas","15-656",NA,"4268","190","47771"
"1299","""City of Lakin","Kansas","15-658","14000","10148","266","285290"
"1300","'""Lamed Water and Electric","Kansas","15-659","531397","86538","1386",NA
"1301","""•Lincoln Light Department","Kansas","15-663","80000","20000","668",NA
"1302","*Lindsborg Light and Water Plant","Kansas","15-665","250000","33023","760",NA
"1303","*Lucas Light Department","Kansas","15-667","16000","6958","225","209850"
"1304","*Luray Municipal Water & Light","Kansas","15-669","20000","3300","140","64330"
"1305","*City of Mahaska","Kansas","15-671","12000","3200","90","52000"
"1306","*Marion Water and Light Plant","Kansas","15-673",NA,"34772",NA,"1763600"
"1307","*McPherson Water and Electric","Kansas","15-675","1264191","251787","2921",NA
"1308","*City of Meade","Kansas","15-677",NA,"22888","440",NA
"1309","*Menlo Electric Light and Trans","Kansas","15-679","10000","2700","65","33200"
"1310","*City of Minneapolis","Kansas","15-682","150000","30105","746",NA
"1311","*City of Montezuma","Kansas","15-684",NA,"5736","142","95070"
"1312","*Moran Municipal Light Plant","Kansas","15-686","45000","9000","225",NA
"1313","'Morrill Municipal Light System","Kansas","15-688",NA,"6287","152","175200"
"1314","*City of Moundridge Water &","Kansas","15-689","42319","21994","325","455670"
"1315","*Mount Hope Electric Dept.","Kansas","15-691","25000","10000","210","250000"
"1316","*Mulberry Water & Light System","Kansas","15-693","30000","10826","365","361260"
"1317","*City of Mulvane","Kansas","15-695","52500","9300","344",NA
"1318","*Muscotah Municipal Electric","Kansas","15-697",NA,"3440","125","76788"
"1319","*City of Neodesha","Kansas","15-699",NA,"69616","1905",NA
"1320","*Netawaka Electric Light System","Kansas","15-700","17500","2760","93","56000"
"1321","*City of Norton","Kansas","15-702",NA,"53890","1046",NA
"1322","""Oakley Municipal Plant","Kansas","15-704","95000","19600","429",NA
"1323","*City of Oberlin","Kansas","15-706","213483","31626","599",NA
"1324","*Osage City Municipal Light Plant","Kansas","15-712","175000","37910","785",NA
"1325","*0sawatomie Light and Water","Kansas","15-713","220315","66868","1395",NA
"1326","""City of Osborne","Kansas","15-715","175000","31529","500",NA
"1327","*Oswego Light Dept","Kansas","15-717","45895","30485","730",NA
"1328","*City Water and Light Depart","Kansas","15-719",NA,"172857","3237",NA
"1329","""Oxford Light and Power System","Kansas","15-721","40000","12783","365","323634"
"1330","* Pomona Light Department","Kansas","15-725",NA,NA,NA,NA
"1331","""Pratt Light & Water Department","Kansas","15-727",NA,"128592","2348",NA
"1332","*City of Prescott","Kansas","15-729","2","273",NA,NA
"1333","""Protection Water and Light","Kansas","15-730",NA,"19930","385",NA
"1334","*Radium Municipal Electric","Kansas","15-732",NA,NA,NA,NA
"1335","*Reserve Light Department","Kansas","15-734",NA,NA,NA,NA
"1336","*City of Robinson","Kansas","15-736","1000","5500","125","1e+05"
"1337","""•Russell Municipal Electric","Kansas","15-738","253429","100174","1514",NA
"1338","*City of Sabetha","Kansas","15-740","201001","55554","975",NA
"1339","*Saint Francis Water & Light","Kansas","15-741","2e+05","29307","375",NA
"1340","*St. John Municipal Electric Plant","Kansas","15-743","2e+05","44313","650",NA
"1341","*St. Marys Water and Light Plant","Kansas","15-745",NA,"1833","420","582400"
"1342","*Savonburg Electric Light","Kansas","15-747",NA,NA,NA,NA
"1343","*City of Scranton","Kansas","15-749","16000","6617","208","142130"
"1344","*City of Seneca","Kansas","15-750",NA,"14428",NA,"1074360"
"1345","*City of Severance","Kansas","15-752",NA,"2635","85","48396"
"1346","*City of Seward","Kansas","15-754","6600","2852","50","59520"
"1347","*City of Sharon Springs","Kansas","15-756","80000","20000",NA,NA
"1348","*City of Stafford","Kansas","15-758","125000","49182","640",NA
"1349","""Sterling Light and Water Plant","Kansas","15-761","250000","45873","829",NA
"1350","""Stockton Municipal Light Plant","Kansas","15-763","115000",NA,"527",NA
"1351","*Summerfield Electric","Kansas","15-765","18000","1500","142",NA
"1352","*Tipton Electric Distribution","Kansas","15-767","12000","3563","98","75680"
"1353","* Toronto Municipal Light Plant","Kansas","15-769","45000","9575","253",NA
"1354","*Troy Light Department","Kansas","15-771",NA,NA,NA,NA
"1355","""City of Udall","Kansas","15-772",NA,"91","140","27089"
"1356","*Vermillion Light System","Kansas","15-773","20000","4165","120","95670"
"1357","*City of Waldo","Kansas","15-777","3800","3878","101","65300"
"1358","""City of Waldron","Kansas","15-779",NA,"1200","53",NA
"1359","*Wamego Municipal Light &","Kansas","15-780","135000","31324",NA,NA
"1360","*City of Washington","Kansas","15-781",NA,"29862","55",NA
"1361","*City of Waterville","Kansas","15-782","32000","13000","325","256360"
"1362","*City of Wathena","Kansas","15-784","40000","17388","285","531200"
"1363","*Webber Municipal System","Kansas","15-785","2500","1225","40",NA
"1364","""Wellington Light Department","Kansas","15-786","927769","117557","2579",NA
"1365","*City of Willis","Kansas","15-788","2000","1800","62","27000"
"1366","*City of Wilson","Kansas","15-792",NA,"22470","445",NA
"1367","""The Winfield Municipal Electric","Kansas","15-794",NA,"225000","3625",NA
"1368","*The Ark. Valley Electric Coop","Kansas","15-805","310934","1753","670","12680"
"1369","•Blair Electric Light Company","Kansas","15-816",NA,NA,NA,NA
"1370","*The Brown-Atchison Electric","Kansas","15-820","408272","37130","753","811000"
"1371","*Butler Rural Electric Cooperative","Kansas","15-826","136293","6540","178","36960"
"1372","""The C. & W. Rural Electrification","Kansas","15-830","307027","23703","700","187900"
"1373","*The Coffey County Rural Electric","Kansas","15-835","222000","7473","314","51200"
"1374","*The Cooperative Power &","Kansas","15-841","96247","4388","164","69400"
"1375","The Doniphan Electric","Kansas","15-850","142582","13691","287","220000"
"1376","""The D. S. & 6. Rural Electric","Kansas","15-855","733795","61836","1499","1032600"
"1377","*Farmer's Light and Power","Kansas","15-858",NA,NA,NA,NA
"1378","'Flint Hills Rural Electric","Kansas","15-865",NA,"26581","868","131900"
"1379","*Hollenberg Electric Association","Kansas","15-877",NA,NA,NA,NA
"1380","""The Jewell Mitchell Coopera","Kansas","15-895","304315","25358","510","336580"
"1381","*The Kaw Valley Electric Coop","Kansas","15-900","280087","24452","565","42200"
"1382","*The Lyon County Electric Co","Kansas","15-910","138784","10580","234","80040"
"1383","The Nemaha-Marshall Electric","Kansas","15-925","285459","11234","553","49600"
"1384","""The Ninnescah Rural Electric","Kansas","15-929","132852","13117","268","81600"
"1385","*The North Central Kansas Rural","Kansas","15-933","231311","7734","483",NA
"1386","*Norton-Decatur Cooperative","Kansas","15-937",NA,NA,NA,NA
"1387","""The Sedgwick County Electric","Kansas","15-950","138328","15365","299","218300"
"1388","""The Sekan Electric Cooperative","Kansas","15-955","147820","4923","337",NA
"1389","Berea College Heat & Power","Kentucky","16-005",NA,NA,"830",NA
"1390","Central States Power & Light","Kentucky","16-011",NA,"64434","1172",NA
"1391","Community Public Service","Kentucky","16-020",NA,"296641","5248",NA
"1392","Cumberland Public Utilities Co.","Kentucky","16-046","52234","22418","547",NA
"1393","Kentucky Edison Co.","Kentucky","16-052","31369","27609","661",NA
"1394","Kentucky Electric Power Co.","Kentucky","16-064",NA,"191077","399","456100"
"1395","Kentucky Power & Light Company","Kentucky","16-073","3522249","609375","8629","19652710"
"1396","Kentucky Rural Electrification","Kentucky","16-078","11949","4254","72","79320"
"1397","Kentucky-Tennessee Light and","Kentucky","16-082","7758376","1844529","26843","25720140"
"1398","Kentucky Utilities Company","Kentucky","16-091","49960615","8990436","95653","145172908"
"1399","Kentucky- West Virginia","Kentucky","16-100","128556","28310","510",NA
"1400","Kentucky and West Virginia","Kentucky","16-109","15313574","3747039","29972","29728616"
"1401","Louisville Gas and Electric","Kentucky","16-127","68162462",NA,"104432","210600"
"1402","Miami Power Corporation","Kentucky","16-139",NA,NA,NA,NA
"1403","Rural Electric Service Co.","Kentucky","16-150","48","22848",NA,NA
"1404","Salem Utilities Co.","Kentucky","16-152",NA,NA,NA,NA
"1405","Stearns Power & Light Co.","Kentucky","16-163","43195","22186","445",NA
"1406","Tennessee Light and Power","Kentucky","16-181",NA,"10440","200",NA
"1407","The Union Light, Heat and Power","Kentucky","16-190","4919799","2566507","44850","120829940"
"1408","Black Diamond Coal Mining Co.","Kentucky","16-215",NA,"7601","192",NA
"1409","Consolidation Coal Co.,","Kentucky","16-225","85108","296958","3959",NA
"1410","Eastern Coal Corporation Inc.","Kentucky","16-230","254282","17759","576",NA
"1411","Elkhorn Coal Corporation","Kentucky","16-236",NA,NA,NA,NA
"1412","Inland Steel Co.","Kentucky","16-260",NA,"18499","447",NA
"1413","The Koppers Coal Co.","Kentucky","16-261",NA,NA,NA,NA
"1414","Majestic Collieries Co.","Kentucky","16-262","35192","11984","250",NA
"1415","W. M. Ritter Lumber Co.","Kentucky","16-280",NA,NA,"5",NA
"1416","Stearns Coal & Lumber","Kentucky","16-285",NA,"33263","660",NA
"1417",""" Barbourville Electric","Kentucky","16-509",NA,NA,NA,NA
"1418","""City of Bardstown","Kentucky","16-511","55000","50514","800","1361100"
"1419","*Benton City Light & Water","Kentucky","16-516",NA,NA,NA,NA
"1420","*City of Corbin","Kentucky","16-523","534180","116587","2223",NA
"1421","*Falmouth Light & Water Plant","Kentucky","16-535",NA,"26198","794",NA
"1422","•Henderson Electric Light Station","Kentucky","16-547","563655","211360","4451",NA
"1423","*MadisonvilIe Light and Water","Kentucky","16-559","145000","140270",NA,"4546200"
"1424","*Nicholasville Light and Power","Kentucky","16-571",NA,"4132","825",NA
"1425","""Olive Hill Municipal Light Plant","Kentucky","16-583",NA,NA,NA,NA
"1426","*Owensboro Municipal Utilities","Kentucky","16-595","2820683","49094","11263",NA
"1427","*Paris Light, Power & Water","Kentucky","16-607","249501",NA,"1362",NA
"1428","*Providence Light & Water Plant","Kentucky","16-619",NA,NA,NA,NA
"1429","""""Tennessee Valley Authority","Kentucky","16-625",NA,"88653","1",NA
"1430","*Vanceburg Electric Light, Heat,","Kentucky","16-630","146864","42891","863","1044660"
"1431","*Williamstown Utility","Kentucky","16-635","60000","30000",NA,NA
"1432","'Blue Grass Rural Electric Co","Kentucky","16-815","213311","28369","894","461240"
"1433","*Clark Rural Electric Cooperative","Kentucky","16-825","240306","28988","696","410680"
"1434","'Farmers Rural Electric Coopera","Kentucky","16-851","428416","46849","1330","753900"
"1435","'""Fleming- Mason Rural Electric","Kentucky","16-853","632028","43961","2023","860240"
"1436","*Fox Creek Rural Electric Coop","Kentucky","16-856","241","31328","811","409680"
"1437","1Green River Rural Electric Coop","Kentucky","16-860","352470","52288","1279","1112400"
"1438","""Harrison County Rural Electric","Kentucky","16-867","420979","55389","1512","684840"
"1439","•""Henderson-Union Rural Electric","Kentucky","16-869","162088","35919","917","653740"
"1440","*Hickman-Fulton Counties Rural","Kentucky","16-872",NA,NA,NA,NA
"1441","*Inter-County Rural Electric Co","Kentucky","16-879","512124","62360","1729","1114400"
"1442","*Jackson County Rural Electric","Kentucky","16-883","151034","20041","517","32112"
"1443","""Jackson Purchase Rural Electric","Kentucky","16-885","341358","41143","1280","60660"
"1444","*Meade County Rural Electric","Kentucky","16-908","254099","23060","679","394620"
"1445","' Nolin Rural Electric Cooperative","Kentucky","16-915","288050","30199","903","421560"
"1446","•Owen County Rural Electric Co","Kentucky","16-923","643846","51577","1880","802280"
"1447","*Pennyrile Rural Electric Co","Kentucky","16-927","416605","42469","1151","819200"
"1448","*Salt River Rural Electric Coopera","Kentucky","16-947","588435","76142",NA,"1451880"
"1449","*SheIby Rural Electric Coopera","Kentucky","16-950","318282",NA,"927","882560"
"1450","'South Kentucky Rural Electric","Kentucky","16-955","162088","16591","585","110400"
"1451","*Taylor County Rural Electric","Kentucky","16-958","304284","37309","961","572400"
"1452","*Tri-County Electric Membership","Kentucky","16-960",NA,"22724","1878",NA
"1453","*Warren Rural Electric Coopera","Kentucky","16-977","387819",NA,"1124","600840"
"1454","Arkansas Power & Light Company","Louisiana","17-012",NA,NA,"67",NA
"1455","Community Public Service","Louisiana","17-028",NA,"61002","956",NA
"1456","Grant Utilities, Inc.","Louisiana","17-040","30920","18181","110",NA
"1457","Greensburg Utilities, Inc.","Louisiana","17-053",NA,"4774","69",NA
"1458","Gulf Public Service Company","Louisiana","17-061","7631887","1133402",NA,"12196751"
"1459","Gulf States Utilities Company","Louisiana","17-069",NA,"4781388","37494",NA
"1460","Louisiana Ice & Electric Company,","Louisiana","17-085","1932181","403041","622","81000"
"1461","Louisiana Power & Light Company","Louisiana","17-093","37244014","6519220","48816","104757105"
"1462","Louisiana Public Service","Louisiana","17-102","471670","164752",NA,"263364"
"1463","Louisiana Public Utilities Co., Inc.","Louisiana","17-110","2997279","578890","9847","5150145"
"1464","Madisonville Ice, Light & Power","Louisiana","17-126","23900","9217","236",NA
"1465","New Orleans Public Service, Inc.","Louisiana","17-134","39482949","10048173","111330",NA
"1466","Oak Grove Utilities Company, Inc.","Louisiana","17-138","110908","29185","361",NA
"1467","Ouacbita Ice & Utilities, Inc.","Louisiana","17-142","109774","26832","348",NA
"1468","Russom Mallory Light & Power","Louisiana","17-155","31907","16619","485",NA
"1469","Southwestern Gas and Electric","Louisiana","17-167",NA,"249760","27947",NA
"1470","Cinclare Central Factory","Louisiana","17-205",NA,"960","20",NA
"1471","Freeport Sulphur Company","Louisiana","17-210","25","11055","4",NA
"1472","Gaylord Container Corporation","Louisiana","17-217","222244","175116","3846",NA
"1473","Hillyer-Deutsch-Edwards, Inc.","Louisiana","17-231",NA,"11835","1",NA
"1474","Industrial Lumber Company, Inc.","Louisiana","17-252",NA,NA,NA,NA
"1475","Louisiana Long Leaf Lumber Co.","Louisiana","17-273","11107","142","90",NA
"1476","The Long Bell Lumber Company","Louisiana","17-294","2932112","42498","1",NA
"1477","Youngsville Sugar Co., Inc.","Louisiana","17-336",NA,"8542","86",NA
"1478","*Abbeville Water & Light Plant","Louisiana","17-510","246340","104794","1569","2182800"
"1479","'Alexandria Electric Light &","Louisiana","17-521","1739032","524980","6",NA
"1480","*Town of Boyce Power Plant","Louisiana","17-532","30000","5870","138",NA
"1481","*Broussard Water Works Plant","Louisiana","17-543",NA,NA,NA,NA
"1482","""Town of Erath","Louisiana","17-554","15000","8015","244","227000"
"1483","•Franklin Municipal Plant","Louisiana","17-565",NA,"73720","1173",NA
"1484","*Gueydan Municipal Plant","Louisiana","17-576","125000","9903","240",NA
"1485","""•Homer Light & Water Plant","Louisiana","17-587","241074","55215","873",NA
"1486","*Honma Light and Water Plant","Louisiana","17-598",NA,NA,"3008",NA
"1487","*Jonesboro Power and Light","Louisiana","17-609","270608",NA,"893",NA
"1488","*Town of Jonesville","Louisiana","17-620","1e+05","16428","262",NA
"1489","""Kaplan Municipal Light &","Louisiana","17-631","105984","30022","553",NA
"1490","•""Lafayette Water & Light Plant","Louisiana","17-642",NA,"217643",NA,NA
"1491","'Lake Providence Electric Light","Louisiana","17-653","359415","57234","678",NA
"1492","*Melville Municipal Electric","Louisiana","17-664",NA,NA,NA,NA
"1493","*Minden Light & Water","Louisiana","17-675","249313","89000","1456",NA
"1494","*City of Monroe","Louisiana","17-686","1179006","526453","6484",NA
"1495","*Morgan City Municipal Water,","Louisiana","17-697","129288","90292","1454",NA
"1496","*City of Natchitoches","Louisiana","17-708","252643","80968","1286",NA
"1497","•New Roads Light and Water","Louisiana","17-719","160000","35579","585",NA
"1498","'Opelousas Electric Light & Water","Louisiana","17-730","762309","125272",NA,NA
"1499","*Plaqnemine City Light & Water","Louisiana","17-741","325504",NA,"1505",NA
"1500","'Rayne Electric Light and Water","Louisiana","17-747","232909","44021","848",NA
"1501","*Rayville Light Plant","Louisiana","17-754",NA,"48141",NA,NA
"1502","*Ruston Department ofWater and","Louisiana","17-760","379917","115630","1599",NA
"1503","'""Saint Martinsville Electric","Louisiana","17-766",NA,"31600","520","660000"
"1504","*Thibodaux Light and Water Plant","Louisiana","17-772",NA,NA,NA,NA
"1505","*Vidalia Electric Department","Louisiana","17-778",NA,NA,NA,NA
"1506","*Vinton Ice, Light and Water","Louisiana","17-784","1e+05","28890","400",NA
"1507","""Town of Welsh","Louisiana","17-790","120000","24486","378",NA
"1508","*Beauregard Electric Cooperative,","Louisiana","17-810",NA,NA,NA,NA
"1509","""Bossier Rural Electric Member","Louisiana","17-815","97594","13463","321","120100"
"1510","*CIaiborne Electric Cooperative,","Louisiana","17-820","175000","1214","354","101800"
"1511","*Dixie Electric Membership","Louisiana","17-825","359412","22279","781","193440"
"1512","""•Northeast Louisiana Power","Louisiana","17-843","205088","17021","548","114240"
"1513","*Pointe Coupee Electric Mem","Louisiana","17-850","9946","9874","289","123700"
"1514","*South Louisiana Electric","Louisiana","17-863","100243","19540","380","312100"
"1515","*Southwest Louisiana Electric","Louisiana","17-868","655667","80266","2318","1499160"
"1516","*Teche Electric Membership","Louisiana","17-880","13575","23701","628","443536"
"1517","*Valley Electric Membership","Louisiana","17-890","431088","57093","1850","907500"
"1518","Andover Power Co., Inc.","Maine","18-010","17568","4822","131","76140"
"1519","Androscoggin Water Power","Maine","18-012",NA,NA,NA,NA
"1520","Stillman Armstrong Co.","Maine","18-016",NA,NA,NA,NA
"1521","Bangor Hydro-Electric Company","Maine","18-019","18269773","2256330","32170","76200"
"1522","Bryant Pond Electric Light Co.","Maine","18-025","14815","5683","155","127280"
"1523","Caribou Water, Light and Power","Maine","18-028","579158","107749","2216","422720"
"1524","Carrabassett Light & Power Co.","Maine","18-031",NA,NA,"219","300"
"1525","Casco Bay Light & Water","Maine","18-034","581710","66388","1300",NA
"1526","Central Maine Power Company","Maine","18-037","87688272","7746021","92077","3133826"
"1527","Charles B. Clark ""","Maine","18-040",NA,NA,NA,NA
"1528","Principal Officer:","Maine","18-091",NA,"2358","68",NA
"1529","Consumers Electric Co.","Maine","18-046","20347","4841","131","89900"
"1530","Cornish & Kezar Falls Light","Maine","18-049","173861",NA,"656","465899"
"1531","Crawford Electric Co.","Maine","18-052",NA,NA,NA,NA
"1532","Cumberland County Power","Maine","18-055","25365814","4335686","58242","51759900"
"1533","Danforth Electric Company","Maine","18-058",NA,NA,NA,NA
"1534","Fort Fail-Held Light and","Maine","18-070","167186","68503","1175","1627200"
"1535","Hampden-Newburg Light","Maine","18-073",NA,"10275","407","143370"
"1536","International Power Co.","Maine","18-076","43063","31192","1","648400"
"1537","Kittery Electric Light Company","Maine","18-079","222697","114771","2037","2641400"
"1538","Lee Mutual Electric Company","Maine","18-082",NA,NA,NA,NA
"1539","Limestone Electric Co.","Maine","18-085",NA,"30279","549","576000"
"1540","Maine Consolidated Power Co.","Maine","18-091",NA,"145832","2810","4724000"
"1541","Maine Public Service Company","Maine","18-094","2937837",NA,"8954","22794721"
"1542","Mars Hill Electric Co.","Maine","18-097","39407","25378","666","485620"
"1543","Monson Light & Power Co.","Maine","18-100",NA,NA,NA,NA
"1544","Monticello Electric Co.","Maine","18-103",NA,NA,NA,NA
"1545","Oquossoc Light & Power","Maine","18-112","233268","35350","624",NA
"1546","Phillips Electric Light &","Maine","18-115","23782",NA,"292","191520"
"1547","It tun ford Falls Light & Water","Maine","18-118","456964","225241","4948","6379910"
"1548","St. Croix Electric Company","Maine","18-123","332915","83660","1623","2079475"
"1549","Stonington & Deer Isle Power Co.","Maine","18-133","107358","28133","570","433100"
"1550","Stratton Light Co.","Maine","18-136","39029","10476","175",NA
"1551","C. O. Sturtevant","Maine","18-139",NA,NA,NA,NA
"1552","Swans Falls Company","Maine","18-142","182248","8921","1",NA
"1553","Vinalhaven Light & Power","Maine","18-148","128061","26015","630",NA
"1554","Washburn Electric Co.","Maine","18-151","52578","20005","558","320510"
"1555","Woodland Light & Water Co.","Maine","18-160","21767","16125","447","312400"
"1556","Bangor and Aroostook","Maine","18-206",NA,NA,"80",NA
"1557","Bates Manufacturing Company","Maine","18-211",NA,"26401","1",NA
"1558","Edwards Mfg. Co.","Maine","18-259",NA,NA,NA,NA
"1559","Hill Manufacturing Company","Maine","18-270",NA,NA,"1",NA
"1560","International Paper Company","Maine","18-282",NA,NA,NA,NA
"1561","Lockwood Company","Maine","18-294","1e+06","4632","1",NA
"1562","Rumford Falls Power Company","Maine","18-310","3992743","577394","2",NA
"1563","St. Croix Paper Company","Maine","18-318",NA,"10628",NA,NA
"1564","Stratton Manufacturing Co.","Maine","18-330",NA,"538","1",NA
"1565","York Manufacturing Company","Maine","18-360",NA,NA,"1",NA
"1566","York Utilities Company","Maine","18-363","450804",NA,NA,NA
"1567","*City of Bangor Electrical Dept.","Maine","18-511","12898",NA,NA,"280200"
"1568","*Houlton Water Company","Maine","18-522","34967","147699","2604","5392475"
"1569","*Kennebunk Electric Light","Maine","18-533","155432","54814","1183","992000"
"1570","*Lewiston Municipal Electric","Maine","18-544",NA,NA,NA,NA
"1571","*Lubec Water and Electric","Maine","18-555",NA,NA,NA,NA
"1572","*Madison Electric Works","Maine","18-566","190156","42199","1648",NA
"1573","•Princeton Lighting District","Maine","18-577","43736","9847","245",NA
"1574","*Squirrel Island Village Corp.","Maine","18-583","23635","4171","308",NA
"1575","*Van Buren Light and Power","Maine","18-588","80779","31057","902","725280"
"1576","'Farm-Home Electric Co","Maine","18-855","101649","2076",NA,NA
"1577","*Farmers Electric Company","Maine","18-864",NA,NA,NA,NA
"1578","Associated Maryland Electric","Maryland","19-014","199021","31715","668","769401"
"1579","The Chestertown Electric Light &","Maryland","19-021","385368","106838","1658",NA
"1580","Conowingo Power Company","Maryland","19-028","1397356","428685","8978","13287210"
"1581","Consolidated Gas Electric Light","Maryland","19-035","87846900","28920963",NA,"976270400"
"1582","The Dclmarva Power Company","Maryland","19-056","2355584","486811",NA,NA
"1583","The Eastern Shore Public Service","Maryland","19-063","4074423","1304348","17064",NA
